Hour,Date,P(kWh),h_max
00,2021-07-01,0,110658.0
01,2021-07-01,0,110658.0
02,2021-07-01,0,110658.0
03,2021-07-01,0,110658.0
04,2021-07-01,0,110658.0
05,2021-07-01,1,110659.0
06,2021-07-01,9,110668.0
07,2021-07-01,23,110691.0
08,2021-07-01,40,110731.0
09,2021-07-01,52,110783.0
10,2021-07-01,48,110831.0
11,2021-07-01,61,110892.0
12,2021-07-01,72,110964.0
13,2021-07-01,74,111038.0
14,2021-07-01,69,111107.0
15,2021-07-01,55,111162.0
16,2021-07-01,40,111202.0
17,2021-07-01,19,111221.0
18,2021-07-01,8,111229.0
19,2021-07-01,1,111230.0
20,2021-07-01,0,111230.0
21,2021-07-01,0,111230.0
22,2021-07-01,0,111230.0
23,2021-07-01,0,111230.0
Hour,Date,P(kWh),h_max
00,2021-07-02,0,111230.0
01,2021-07-02,0,111230.0
02,2021-07-02,0,111230.0
03,2021-07-02,0,111230.0
04,2021-07-02,0,111230.0
05,2021-07-02,1,111231.0
06,2021-07-02,8,111239.0
07,2021-07-02,12,111251.0
08,2021-07-02,14,111265.0
09,2021-07-02,17,111282.0
10,2021-07-02,21,111303.0
11,2021-07-02,16,111319.0
12,2021-07-02,23,111342.0
13,2021-07-02,19,111361.0
14,2021-07-02,29,111390.0
15,2021-07-02,24,111414.0
16,2021-07-02,12,111426.0
17,2021-07-02,5,111431.0
18,2021-07-02,2,111433.0
19,2021-07-02,1,111434.0
20,2021-07-02,0,111434.0
21,2021-07-02,0,111434.0
22,2021-07-02,0,111434.0
23,2021-07-02,0,111434.0
Hour,Date,P(kWh),h_max
00,2021-07-03,0,111434.0
01,2021-07-03,0,111434.0
02,2021-07-03,0,111434.0
03,2021-07-03,0,111434.0
04,2021-07-03,0,111434.0
05,2021-07-03,0,111434.0
06,2021-07-03,3,111437.0
07,2021-07-03,11,111448.0
08,2021-07-03,7,111455.0
09,2021-07-03,17,111472.0
10,2021-07-03,11,111483.0
11,2021-07-03,15,111498.0
12,2021-07-03,21,111519.0
13,2021-07-03,19,111538.0
14,2021-07-03,21,111559.0
15,2021-07-03,12,111571.0
16,2021-07-03,4,111575.0
17,2021-07-03,2,111577.0
18,2021-07-03,1,111578.0
19,2021-07-03,0,111578.0
20,2021-07-03,0,111578.0
21,2021-07-03,0,111578.0
22,2021-07-03,0,111578.0
23,2021-07-03,0,111578.0
Hour,Date,P(kWh),h_max
00,2021-07-04,0,111578.0
01,2021-07-04,0,111578.0
02,2021-07-04,0,111578.0
03,2021-07-04,0,111578.0
04,2021-07-04,0,111578.0
05,2021-07-04,0,111578.0
06,2021-07-04,7,111585.0
07,2021-07-04,19,111604.0
08,2021-07-04,30,111634.0
09,2021-07-04,35,111669.0
10,2021-07-04,59,111728.0
11,2021-07-04,54,111782.0
12,2021-07-04,66,111848.0
13,2021-07-04,62,111910.0
14,2021-07-04,46,111956.0
15,2021-07-04,23,111979.0
16,2021-07-04,26,112005.0
17,2021-07-04,17,112022.0
18,2021-07-04,6,112028.0
19,2021-07-04,1,112029.0
20,2021-07-04,0,112029.0
21,2021-07-04,0,112029.0
22,2021-07-04,0,112029.0
23,2021-07-04,0,112029.0
Hour,Date,P(kWh),h_max
00,2021-07-05,0,112029.0
01,2021-07-05,0,112029.0
02,2021-07-05,0,112029.0
03,2021-07-05,0,112029.0
04,2021-07-05,0,112029.0
05,2021-07-05,0,112029.0
06,2021-07-05,7,112036.0
07,2021-07-05,27,112063.0
08,2021-07-05,30,112093.0
09,2021-07-05,30,112123.0
10,2021-07-05,25,112148.0
11,2021-07-05,19,112167.0
12,2021-07-05,25,112192.0
13,2021-07-05,30,112222.0
14,2021-07-05,17,112239.0
15,2021-07-05,13,112252.0
16,2021-07-05,12,112264.0
17,2021-07-05,7,112271.0
18,2021-07-05,2,112273.0
19,2021-07-05,1,112274.0
20,2021-07-05,0,112274.0
21,2021-07-05,0,112274.0
22,2021-07-05,0,112274.0
23,2021-07-05,0,112274.0
Hour,Date,P(kWh),h_max
00,2021-07-06,0,112274.0
01,2021-07-06,0,112274.0
02,2021-07-06,0,112274.0
03,2021-07-06,0,112274.0
04,2021-07-06,0,112274.0
05,2021-07-06,0,112274.0
06,2021-07-06,1,112275.0
07,2021-07-06,2,112277.0
08,2021-07-06,6,112283.0
09,2021-07-06,4,112287.0
10,2021-07-06,8,112295.0
11,2021-07-06,11,112306.0
12,2021-07-06,18,112324.0
13,2021-07-06,16,112340.0
14,2021-07-06,18,112358.0
15,2021-07-06,9,112367.0
16,2021-07-06,7,112374.0
17,2021-07-06,5,112379.0
18,2021-07-06,2,112381.0
19,2021-07-06,0,112381.0
20,2021-07-06,0,112381.0
21,2021-07-06,0,112381.0
22,2021-07-06,0,112381.0
23,2021-07-06,0,112381.0
Hour,Date,P(kWh),h_max
00,2021-07-07,0,112381.0
01,2021-07-07,0,112381.0
02,2021-07-07,0,112381.0
03,2021-07-07,0,112381.0
04,2021-07-07,0,112381.0
05,2021-07-07,0,112381.0
06,2021-07-07,4,112385.0
07,2021-07-07,3,112388.0
08,2021-07-07,1,112389.0
09,2021-07-07,3,112392.0
10,2021-07-07,9,112401.0
11,2021-07-07,9,112410.0
12,2021-07-07,6,112416.0
13,2021-07-07,17,112433.0
14,2021-07-07,18,112451.0
15,2021-07-07,10,112461.0
16,2021-07-07,15,112476.0
17,2021-07-07,4,112480.0
18,2021-07-07,3,112483.0
19,2021-07-07,1,112484.0
20,2021-07-07,0,112484.0
21,2021-07-07,0,112484.0
22,2021-07-07,0,112484.0
23,2021-07-07,0,112484.0
Hour,Date,P(kWh),h_max
00,2021-07-08,0,112484.0
01,2021-07-08,0,112484.0
02,2021-07-08,0,112484.0
03,2021-07-08,0,112484.0
04,2021-07-08,0,112484.0
05,2021-07-08,0,112484.0
06,2021-07-08,2,112486.0
07,2021-07-08,7,112493.0
08,2021-07-08,12,112505.0
09,2021-07-08,24,112529.0
10,2021-07-08,43,112572.0
11,2021-07-08,32,112604.0
12,2021-07-08,38,112642.0
13,2021-07-08,35,112677.0
14,2021-07-08,23,112700.0
15,2021-07-08,23,112723.0
16,2021-07-08,17,112740.0
17,2021-07-08,8,112748.0
18,2021-07-08,3,112751.0
