D_date,F_all_power
2021-01-01 00:00,33391
2021-01-01 01:00,33391
2021-01-01 02:00,33391
2021-01-01 03:00,33391
2021-01-01 04:00,33391
2021-01-01 05:00,33391
2021-01-01 06:00,33391
2021-01-01 07:00,33391
2021-01-01 08:00,33391
2021-01-01 09:00,33395
2021-01-01 10:00,33408
2021-01-01 11:00,33460
2021-01-01 12:00,33509
2021-01-01 13:00,33561
2021-01-01 14:00,33601
2021-01-01 15:00,33649
2021-01-01 16:00,33675
2021-01-01 17:00,33679
2021-01-01 18:00,33679
2021-01-01 19:00,33679
2021-01-01 20:00,33679
2021-01-01 21:00,33679
2021-01-01 22:00,33679
2021-01-01 23:00,33679
2021-01-02 00:00,33679
2021-01-02 01:00,33679
2021-01-02 02:00,33679
2021-01-02 03:00,33679
2021-01-02 04:00,33679
2021-01-02 05:00,33679
2021-01-02 06:00,33679
2021-01-02 07:00,33679
2021-01-02 08:00,33679
2021-01-02 09:00,33684
2021-01-02 10:00,33696
2021-01-02 11:00,33749
2021-01-02 12:00,33817
2021-01-02 13:00,33891
2021-01-02 14:00,33963
2021-01-02 15:00,34026
2021-01-02 16:00,34070
2021-01-02 17:00,34085
2021-01-02 18:00,34086
2021-01-02 19:00,34086
2021-01-02 20:00,34086
2021-01-02 21:00,34086
2021-01-02 22:00,34086
2021-01-02 23:00,34086
2021-01-03 00:00,34086
2021-01-03 01:00,34086
2021-01-03 02:00,34086
2021-01-03 03:00,34086
2021-01-03 04:00,34086
2021-01-03 05:00,34086
2021-01-03 06:00,34086
2021-01-03 07:00,34086
2021-01-03 08:00,34086
2021-01-03 09:00,34090
2021-01-03 10:00,34100
2021-01-03 11:00,34158
2021-01-03 12:00,34230
2021-01-03 13:00,34297
2021-01-03 14:00,34358
2021-01-03 15:00,34384
2021-01-03 16:00,34402
2021-01-03 17:00,34409
2021-01-03 18:00,34409
2021-01-03 19:00,34409
2021-01-03 20:00,34409
2021-01-03 21:00,34409
2021-01-03 22:00,34409
2021-01-03 23:00,34409
2021-01-04 00:00,34409
2021-01-04 01:00,34409
2021-01-04 02:00,34409
2021-01-04 03:00,34409
